train_success_rate,train_num_timeout_failures,train_num_collisions_failures,train_num_minimum_reward_reached,train_total_collisions,train_total_timeouts,agent_noise_std,success_rate,num_timeout_failures,num_collision_failures,num_minimum_reward_reached,total_collisions,total_timeouts,epoch,average_reward,std_reward,max_reward,min_reward,average_test_reward,std_test_reward,max_test_reward,min_test_reward,steps,test_steps,total_env_steps,total_episodes,time
0.15,0,17,0,196.0,0,0.01,0.16,0,84,3,1606.0,0,87,-2971.7498,504.8491358812056,-2003.6902,-3910.745,-3246.5615,1370.5189673988464,-2110.3232,-10085.814,175.87502,172.95668,1049798,1740,21417.694504737854
0.1,0,18,1,408.0,0,0.01,0.13,0,87,0,1503.0,0,88,-3578.313,1690.7417898662113,-2305.7842,-10246.833,-3240.377,830.0142167457133,-2066.0825,-5901.049,174.93333,175.37332,1061396,1760,21647.27186846733
0.15,0,17,1,417.0,0,0.01,0.22,0,78,2,1409.0,0,89,-3562.1074,1639.1218990666923,-2141.4414,-10089.36,-3198.7666,1210.2048091129038,-2114.5742,-10206.901,172.95,174.905,1073226,1780,21851.824059724808
0.05,0,19,0,265.0,0,0.01,0.16,0,84,1,1363.0,0,90,-3167.5684,625.2898327975596,-2264.1753,-4547.0493,-3121.4922,983.0989370353321,-1943.1302,-10156.28,175.86667,174.23,1085738,1800,22036.379334449768
0.25,0,15,0,244.0,0,0.01,0.17,0,83,1,1582.0,0,91,-3097.4812,747.2492221474707,-2196.344,-4988.9526,-3262.3547,1063.0817466215851,-1946.1791,-10197.49,175.74167,174.33167,1097772,1820,22210.80768609047
0.25,0,15,0,182.0,0,0.01,0.16,0,84,1,1541.0,0,92,-2899.7783,581.9279809392224,-2247.714,-4001.9512,-3286.0059,1055.065798895974,-2021.796,-10158.857,175.4,175.49832,1109696,1840,22383.404390335083
0.25,0,15,0,171.0,0,0.01,0.18,0,82,2,1414.0,0,93,-2841.3525,595.7505350396254,-2114.0452,-4502.3955,-3186.036,1211.579729114019,-2085.2505,-10107.115,174.65834,174.27335,1121802,1860,22551.640286922455
0.05,0,19,0,266.0,0,0.01,0.12,0,88,3,1736.0,0,94,-3200.9849,663.5176335260428,-2363.3533,-4653.972,-3491.1335,1416.0293782263134,-2239.7634,-10230.312,176.55833,176.88834,1133900,1880,22726.202154159546
0.15,0,17,0,296.0,0,0.01,0.15,0,85,2,1628.0,0,95,-3276.0146,610.2498668578306,-2202.6028,-4356.2104,-3364.6875,1262.2823139060454,-2177.3906,-10137.729,176.225,175.96667,1146406,1900,22903.04105567932
0.05,0,19,0,258.0,0,0.01,0.13,0,87,1,1435.0,0,96,-3167.3765,724.1240915754702,-2165.8235,-4700.1123,-3311.856,1057.7429933589729,-2062.3726,-10010.409,176.41667,177.52834,1158486,1920,23081.59144449234
0.05,0,19,0,314.0,0,0.01,0.09,0,91,0,1306.0,0,97,-3349.8413,692.7719682550673,-2285.149,-5368.095,-3132.1738,687.4271743246699,-2173.1233,-5679.559,176.92502,175.45335,1170162,1940,23254.99005460739
0.15,0,17,0,229.0,0,0.01,0.25,0,75,5,1702.0,0,98,-3048.6958,718.72933013757,-2126.3674,-5208.219,-3239.4375,1720.8912109718035,-2028.6785,-10231.482,175.66667,171.22836,1181902,1960,23428.693009614944
0.0,0,20,0,371.0,0,0.01,0.13,0,87,1,1588.0,0,99,-3490.0503,596.9984296461759,-2634.347,-5129.3403,-3271.3396,1057.9570501679168,-2021.2668,-10194.744,176.25833,174.465,1193906,1980,23587.079598903656
0.25,0,15,0,292.0,0,0.01,0.12,0,88,3,1707.0,0,100,-3273.4604,1041.1579611182924,-2062.4133,-6767.471,-3373.3784,1366.069925003841,-2119.7603,-10228.235,176.55,174.47334,1206484,2000,23746.25796365738
