train_success_rate,train_num_timeout_failures,train_num_collisions_failures,train_num_minimum_reward_reached,train_total_collisions,train_total_timeouts,agent_noise_std,success_rate,num_timeout_failures,num_collision_failures,num_minimum_reward_reached,total_collisions,total_timeouts,epoch,average_reward,std_reward,max_reward,min_reward,average_test_reward,std_test_reward,max_test_reward,min_test_reward,steps,test_steps,total_env_steps,total_episodes,time
0.9,2,0,0,0.0,11,0.01,0.98,1,1,0,1.0,5,63,-697.04517,1991.0869393374062,-10.566608,-7239.189,-83.5607,602.9330642782829,0.0,-6079.93,147.79167,110.97333,680322,1260,15267.364002227783
1.0,0,0,0,0.0,0,0.01,0.89,6,5,0,10.0,32,64,-22.612514,17.539782488006015,-1.2030941,-56.518337,-404.11758,1519.5933140152993,0.0,-7162.2095,108.10001,128.72333,690338,1280,15476.43100142479
0.95,1,0,0,0.0,6,0.01,0.81,10,9,0,21.0,48,65,-364.34027,1495.1908239418808,-5.0097413,-6881.4224,-594.40424,1734.855198568457,0.0,-7151.164,127.38334,138.17667,701172,1300,15716.373999595642
0.9,0,2,0,22.0,0,0.01,0.82,5,13,1,441.0,22,66,-30.50148,56.87835498346449,-1.047136,-272.57092,-390.91,1517.545228321054,0.0,-10021.308,107.10834,124.38167,710838,1320,15927.380002737045
0.8,1,4,0,239.0,4,0.01,0.43,5,55,0,233.0,28,67,-378.5926,1563.8847783644421,-2.2095354,-7194.794,-368.04922,1460.7939758911932,0.0,-7282.512,118.64168,122.42334,721112,1340,16137.935999631882
0.6,4,7,0,209.0,20,0.01,0.5,3,47,0,210.0,16,68,-1307.3011,2595.959321715192,-1.324151,-7304.307,-233.16866,1137.309069690381,0.0,-7093.3022,169.76666,115.59333,733370,1360,16374.264999866486
0.4,2,11,0,421.0,10,0.01,0.45,3,53,0,255.0,14,69,-963.11115,2544.5996148706777,-1.1970342,-9793.705,-204.69104,960.1709847730247,0.0,-6024.757,153.80833,113.735,744150,1380,16598.235999584198
0.3,6,8,0,28.0,31,0.01,0.24,4,73,0,410.0,21,70,-1912.8713,3107.6441237696445,-1.2767671,-7336.4624,-304.6614,1273.8931823351595,-0.00016044856,-7158.511,210.05832,117.89166,757464,1400,16846.8840007782
0.55,0,9,0,97.0,0,0.01,0.25,3,73,0,424.0,17,71,-53.569946,76.95158278911487,-1.224941,-272.65967,-259.1844,1190.4356177467137,-5.2690507e-06,-7163.237,103.11666,115.27332,767056,1420,17046.309999227524
0.2,0,16,0,113.0,0,0.01,0.16,4,82,0,539.0,23,72,-63.98413,44.10293800445726,-1.0764352,-129.99075,-337.2012,1349.352318707016,0.0,-7104.937,104.01666,119.16167,776266,1440,17246.415999889374
