train_success_rate,train_num_timeout_failures,train_num_collisions_failures,train_num_minimum_reward_reached,train_total_collisions,train_total_timeouts,agent_noise_std,success_rate,num_timeout_failures,num_collision_failures,num_minimum_reward_reached,total_collisions,total_timeouts,epoch,average_reward,std_reward,max_reward,min_reward,average_test_reward,std_test_reward,max_test_reward,min_test_reward,steps,test_steps,total_env_steps,total_episodes,time
0.3,1,14,1,1199.0,6,0.01,0.27,4,73,1,1139.0,17,73,-1254.7312,3011.868390218935,-1.195001,-10031.836,-390.13507,1442.8892126563287,0.0,-10012.6,145.90834,117.92167,734060,1460,87502.04939746857
0.05,0,19,0,129.0,0,0.01,0.21,3,79,2,1556.0,17,74,-70.511154,50.951389977359796,-1.1830451,-177.61937,-472.2419,1781.219447457275,0.0,-10031.44,103.441666,120.905,742790,1480,88701.04409074783
0.1,1,18,2,1033.0,5,0.01,0.25,5,73,0,736.0,26,75,-1538.4812,3446.399744661086,-1.141247,-10031.679,-387.10043,1371.2659844100267,0.0,-7295.8354,160.46667,119.16,753438,1500,89913.99588727951
0.4,0,12,0,128.0,0,0.01,0.0,89,54,32,15960.0,461,76,-140.51456,211.99467858887402,-1.2647864,-912.20715,-8215.381,1314.399878271449,-5033.598,-10031.436,112.38334,485.11337,763190,1520,91701.39850974083
0.4,2,11,0,211.0,9,0.01,0.19,3,81,0,692.0,14,77,-830.94403,2067.6698962842206,-1.1397066,-7661.702,-246.1013,1038.9943214474274,0.0,-7135.86,149.88333,111.52333,773874,1540,93167.43757200241
0.25,0,15,0,135.0,0,0.01,0.21,20,71,2,1962.0,93,78,-70.33424,48.68867537092173,-1.2709068,-163.0084,-1416.675,2713.00689272991,0.0,-10021.07,102.59166,172.91832,783050,1560,94671.82418107986
0.0,1,20,1,1119.0,4,0.01,0.2,5,79,3,2977.0,23,79,-1026.0066,2824.7608040327946,-11.718582,-10051.535,-684.5658,2224.9472083624814,0.0,-10017.24,133.0,127.60334,793380,1580,96138.08106732368
0.1,1,18,0,451.0,4,0.01,0.11,4,89,0,913.0,18,80,-474.87704,1766.9889643118884,-1.0915111,-8175.231,-311.65298,1077.2389892683982,0.0,-6156.03,116.52501,113.96,802530,1600,97463.09885239601
0.2,0,16,0,130.0,0,0.01,0.2,3,79,0,523.0,14,81,-68.046394,55.766937939853754,-1.0249479,-171.20076,-239.62032,1053.6706885929777,0.0,-7174.28,102.658325,112.63,811594,1620,98851.91371536255
0.25,0,15,0,131.0,0,0.01,0.14,3,86,0,718.0,15,82,-70.01079,60.67665325312529,-1.1497799,-220.62115,-262.23505,1075.190327337444,0.0,-7130.82,103.14166,112.555,820812,1640,100207.76998710632
0.15,0,17,0,191.0,0,0.01,0.21,3,78,0,778.0,15,83,-98.37262,88.65482132264438,-1.1470032,-288.50632,-276.18033,1137.4853669388456,0.0,-7117.393,103.10834,113.25499,829608,1660,101564.39329218864
0.1,1,18,0,271.0,5,0.01,0.15,4,84,0,985.0,18,84,-488.92096,1725.8005678524967,-1.1995854,-8006.2847,-333.95288,1144.3767211893119,0.0,-6555.85,122.933334,115.24834,838738,1680,102852.78796672821
0.1,0,18,1,810.0,0,0.01,0.19,1,81,0,896.0,6,85,-605.2511,2157.9626502791934,-1.4097427,-10006.035,-161.54973,718.7015514105976,0.0,-7271.13,117.583336,105.69167,847602,1700,104136.13086986542
0.15,0,17,0,218.0,0,0.01,0.19,2,81,0,1057.0,9,86,-110.98712,78.08591772448474,-1.1551875,-311.93326,-213.96545,773.9225025802002,0.0,-6122.94,103.041664,107.9,856246,1720,105361.42331838608
0.25,0,15,0,218.0,0,0.01,0.19,3,81,0,898.0,16,87,-111.0792,106.22350772663272,-1.1508954,-414.3283,-282.4865,1103.0750835731899,0.0,-7296.81,103.058334,112.76333,864920,1740,106782.32200098038
0.2,1,16,0,499.0,4,0.01,0.18,3,82,0,728.0,17,88,-490.14575,1849.3161979499341,-1.1925862,-8547.1045,-285.12927,1195.9559189200913,0.0,-7237.31,115.99166,113.71167,874782,1760,108262.04782962799
0.2,0,16,0,164.0,0,0.01,0.22,3,78,2,2322.0,13,89,-84.21106,57.449121511995294,-1.0786701,-162.3982,-480.1376,1778.0899414821513,0.0,-10031.662,102.65834,118.06333,883550,1780,109648.4585826397
0.2,1,16,2,1283.0,2,0.01,0.17,3,83,0,1035.0,13,90,-1270.3318,3035.4052118292216,-1.1378006,-10043.515,-268.2828,961.1690798189463,0.0,-6863.2,143.64166,111.18166,893912,1800,111166.52910995483
0.25,0,15,0,195.0,0,0.01,0.27,2,73,0,843.0,8,91,-100.27227,104.23513083409067,-1.1705095,-301.41385,-182.60246,688.007092986693,0.0,-4996.233,103.00834,107.36667,903330,1820,112519.67946267128
0.25,1,15,0,419.0,4,0.01,0.2,2,80,0,1115.0,12,92,-452.95468,1708.2448887674157,-1.0823023,-7895.607,-253.7148,998.3774436554544,0.0,-7225.5703,115.375,109.98833,913126,1840,113858.05353784561
0.15,0,17,0,198.0,0,0.01,0.18,2,82,1,1576.0,10,93,-101.581436,108.24243983415192,-1.1605388,-527.1649,-344.9595,1367.7942535337688,0.0,-10020.1,103.00832,113.18167,921650,1860,115139.22562003136
0.2,1,16,1,798.0,5,0.01,0.18,2,82,0,1214.0,9,94,-916.3043,2567.34002422741,-1.0544735,-10027.27,-219.69406,1023.1512889108825,0.0,-9126.862,134.68332,107.59499,932092,1880,116667.5782380104
0.2,0,16,1,599.0,0,0.01,0.19,1,81,0,957.0,6,95,-580.3994,2170.3329698458715,-1.1820468,-10035.206,-166.38237,703.9793178780184,0.0,-7116.16,119.066666,105.80667,941852,1900,118057.88865065575
0.05,0,19,1,741.0,0,0.01,0.24,2,76,0,839.0,9,96,-610.53723,2157.3066541407597,-1.188658,-10009.476,-193.80363,773.9345450359482,0.0,-6128.6934,117.45833,107.61,951318,1920,119323.57665109634
0.25,0,15,0,182.0,0,0.01,0.15,3,85,1,1607.0,14,97,-92.64827,80.76900898550136,-1.1356986,-322.40967,-363.6614,1380.3098782519814,0.0,-10009.25,102.63332,114.41501,960462,1940,120559.73899507523
0.3,0,14,0,173.0,0,0.01,0.15,5,85,0,1012.0,29,98,-100.235794,149.34329684488688,-1.1446176,-676.0281,-446.38058,1509.4304091278937,0.0,-7384.517,104.941666,121.11834,969908,1960,121887.21071505547
0.2,1,16,0,530.0,4,0.01,0.09,1,91,0,1034.0,6,99,-506.14664,1702.5670030868096,-1.1873503,-7915.5483,-175.2354,715.8042749243679,0.0,-7253.2393,116.15834,105.81834,979816,1980,123224.50883460045
0.1,0,18,1,582.0,0,0.01,0.18,2,82,0,1010.0,10,100,-605.00824,2157.3827662239264,-1.230156,-10002.668,-221.69801,852.2683614918484,0.0,-7181.5347,120.7,108.56666,988966,2000,124460.52099204063
